Name,Location,Latitude,Longitude,CI_cyano(CyAN),CI_cyano(S3),CI_cyano(PACE)
pin_93,Lake Erie,41.574789,-82.990695,0.005876943,0.005133768,0.005476033
pin_94,Lake Erie,41.574789,-83.016826,0.010637986,0.009951753,0.004890046
pin_95,Lake Erie,41.587855,-83.029892,0.012173892,0.010653978,0.007276632
pin_96,Lake Erie,41.548658,-82.990695,0.015105719,0.012202755,0.004335062
pin_97,Lake Erie,41.574789,-82.951498,0.007696469,0.006511481,0.00507206
pin_98,Lake Erie,41.731577,-83.421861,0.00729228,0.006047025,0.00239741
pin_99,Lake Erie,41.757708,-83.421861,0.002108722,0.001805145,0.001886092
pin_100,Lake Erie,41.757708,-83.39573,0.004028612,0.003706245,0.003099044
pin_101,Lake Erie,41.718511,-83.382664,0.012848647,0.010209223,0.011151743
pin_102,Lake Erie,41.679314,-83.238942,0.033928249,0.028045803,0.01234405
pin_1,Lake Erie,41.786672,-83.402842,0.001944811,0.001991302,0.002075673
pin_2,Lake Erie,41.798987,-83.378214,0.001074408,0.001719072,0.00137532
pin_3,Lake Erie,41.811301,-83.353585,0.001997981,0.002226674,0.001374342
pin_4,Lake Erie,41.823615,-83.328957,6.68E-05,8.51E-04,0.001157728
pin_5,Lake Erie,41.835929,-83.304328,8.20E-04,4.67E-04,7.86E-04
pin_6,Lake Erie,41.835929,-83.267386,0.001567348,0.001834399,0.001383682
pin_7,Lake Erie,41.823615,-83.2797,0.001610198,0.002849494,0.002455621
pin_8,Lake Erie,41.811301,-83.316643,8.20E-04,0.001668419,0.001915992
pin_9,Lake Erie,41.798987,-83.328957,0.004028612,0.003731237,0.003536246
pin_10,Lake Erie,41.786672,-83.341271,0.006372259,0.007456135,0.004885998
pin_11,Lake Erie,41.774358,-83.353585,0.005275885,0.004361025,0.00941506
pin_12,Lake Erie,41.774358,-83.378214,0.004736301,0.004230927,0.002440321
pin_13,Lake Erie,41.762044,-83.390528,0.006037615,0.009857213,0.004076355
pin_14,Lake Erie,41.74973,-83.402842,0.007491647,0.004599502,0.003126996
pin_15,Lake Erie,41.737416,-83.402842,0.003921403,0.005114027,0.003690121
